Tag Number, Time, Mother
UK123482528495,04-02-18 14:18:46Ewe
UK123482528495,04-02-18 19:47:11,Ewe
UK123482528495,04-02-18 19:48:44,Ewe
UK123482528495,04-02-18 19:49:23,Ewe
UK123482528495,04-02-18 19:49:32,UK123482528495
UK123482528495,04-02-18 19:50:14,Ewe
UK123482528495,04-02-18 19:50:21,Ewe
UK123482528495,04-02-18 20:39:28,Ewe
UK072235700368,05-02-18 13:34:02,Ewe
UK072235700370,05-02-18 13:34:13,Ewe
UK072235700370,05-02-18 13:34:18,Ewe
UK072235700368,05-02-18 13:34:24,UK072235700370
UK072235700369,05-02-18 13:34:26,UK072235700370
